Nome;Sobrenome;POS;player_id;image_path
Taurean;Prince;F;1627752.0;assets/players/1627752.png
Taylor;Hendricks;F;1641707.0;assets/players/1641707.png
Terance;Mann;G-F;1629611.0;assets/players/1629611.png
Terrence;Shannon Jr.;G-F;1630545.0;assets/players/1630545.png
Thanasis;Antetokounmpo;F;203648.0;assets/players/203648.png
Thomas;Bryant;C-F;1628418.0;assets/players/1628418.png
Tidjane;Salaun;F;;perfiljogador.png
Tim;Hardaway Jr.;G-F;203501.0;assets/players/203501.png
Tobias;Harris;F;202699.0;assets/players/202699.png
Tolu;Smith;F;1642449.0;assets/players/1642449.png
Tony;Bradley;C-F;1628396.0;assets/players/1628396.png
Tosan;Evbuomwan;F;1641787.0;assets/players/1641787.png
Toumani;Camara;F;1641739.0;assets/players/1641739.png
Trae;Young;G;1629027.0;assets/players/1629027.png
Trayce;Jackson-Davis;F;1631218.0;assets/players/1631218.png
Tre;Johnson;G;1642848.0;assets/players/1642848.png
Tre;Jones;G;1630200.0;assets/players/1630200.png
